time,"V(2)","V(8)"
0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-13,8.583664e-06,1.381776e-05
5.000000e-13,6.817429e-06,1.731948e-05
7.500000e-13,1.594228e-05,3.955108e-05
1.000000e-12,2.534606e-05,6.122881e-05
1.250000e-12,3.307610e-05,7.783873e-05
1.500000e-12,3.789141e-05,8.716369e-05
1.750000e-12,3.953838e-05,8.947220e-05
2.000000e-12,3.865760e-05,8.684380e-05
2.250000e-12,3.643041e-05,8.210490e-05
2.500000e-12,3.412816e-05,7.781994e-05
2.750000e-12,3.272324e-05,7.563259e-05
3.000000e-12,3.266887e-05,7.605843e-05
3.250000e-12,3.388141e-05,7.866594e-05
3.500000e-12,3.588998e-05,8.248534e-05
3.750000e-12,3.807302e-05,8.646217e-05
4.000000e-12,3.989062e-05,8.980980e-05
4.250000e-12,4.104053e-05,9.218456e-05
4.500000e-12,4.150538e-05,9.368045e-05
4.750000e-12,4.149977e-05,9.469478e-05
5.000000e-12,4.135600e-05,9.574019e-05
5.250000e-12,3.281477e-05,8.345638e-05
5.500000e-12,2.621788e-05,6.757605e-05
5.750000e-12,1.731900e-05,4.596592e-05
6.000000e-12,7.869338e-06,2.340941e-05
6.250000e-12,-3.940560e-07,4.181145e-06
6.500000e-12,-6.261555e-06,-9.137452e-06
6.750000e-12,-9.292629e-06,-1.595406e-05
7.000000e-12,-9.790367e-06,-1.730912e-05
7.250000e-12,-8.577486e-06,-1.517712e-05
7.500000e-12,-6.676880e-06,-1.171558e-05
7.750000e-12,-5.003629e-06,-8.675333e-06
8.000000e-12,-4.150613e-06,-7.080963e-06
8.250000e-12,-4.307162e-06,-7.189077e-06
8.500000e-12,-5.304991e-06,-8.656965e-06
8.750000e-12,-6.751634e-06,-1.081884e-05
9.000000e-12,-8.195879e-06,-1.296796e-05
9.250000e-12,-9.272702e-06,-1.456967e-05
9.500000e-12,-9.791735e-06,-1.536859e-05
9.750000e-12,-9.756345e-06,-1.538983e-05
1.000000e-11,-9.322492e-06,-1.486196e-05
1.025000e-11,-8.714992e-06,-1.409571e-05
1.050000e-11,-8.156576e-06,-1.338516e-05
1.075000e-11,-7.794540e-06,-1.292023e-05
1.100000e-11,-7.680377e-06,-1.276527e-05
1.125000e-11,-7.776802e-06,-1.287338e-05
1.150000e-11,-7.991593e-06,-1.313124e-05
1.175000e-11,-8.220306e-06,-1.341190e-05
1.200000e-11,-8.382351e-06,-1.361769e-05
1.225000e-11,-8.440508e-06,-1.370259e-05
1.250000e-11,-8.401517e-06,-1.367231e-05
1.275000e-11,-8.302153e-06,-1.356788e-05
1.300000e-11,-8.188960e-06,-1.344235e-05
1.325000e-11,-8.100075e-06,-1.333998e-05
1.350000e-11,-8.054760e-06,-1.328426e-05
1.375000e-11,-8.052282e-06,-1.327628e-05
1.400000e-11,-8.078038e-06,-1.330123e-05
