time,"V(8)","V(2)"
0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-13,1.134374e-05,8.259565e-06
5.000000e-13,1.156089e-05,6.042480e-06
7.500000e-13,2.653027e-05,1.383852e-05
1.000000e-12,4.128180e-05,2.145095e-05
1.250000e-12,5.270149e-05,2.718760e-05
1.500000e-12,5.916633e-05,3.017109e-05
1.750000e-12,6.076368e-05,3.049305e-05
2.000000e-12,5.888875e-05,2.899629e-05
2.250000e-12,5.552131e-05,2.684895e-05
2.500000e-12,5.249811e-05,2.510479e-05
2.750000e-12,5.101202e-05,2.440099e-05
3.000000e-12,5.143510e-05,2.486142e-05
3.250000e-12,5.343645e-05,2.618818e-05
3.500000e-12,5.628261e-05,2.786571e-05
3.750000e-12,5.918122e-05,2.938366e-05
4.000000e-12,6.155111e-05,3.040181e-05
4.250000e-12,6.315493e-05,3.081875e-05
4.500000e-12,6.409013e-05,3.074702e-05
4.750000e-12,6.467896e-05,3.042697e-05
5.000000e-12,6.531936e-05,3.012249e-05
5.250000e-12,5.501009e-05,2.177654e-05
5.500000e-12,4.451108e-05,1.583579e-05
5.750000e-12,3.010785e-05,8.199579e-06
6.000000e-12,1.489129e-05,6.327688e-07
6.250000e-12,1.732348e-06,-5.287825e-06
6.500000e-12,-7.544318e-06,-8.691088e-06
6.750000e-12,-1.242321e-05,-9.569925e-06
7.000000e-12,-1.351385e-05,-8.613167e-06
7.250000e-12,-1.211003e-05,-6.844072e-06
7.500000e-12,-9.686020e-06,-5.230714e-06
7.750000e-12,-7.481115e-06,-4.404106e-06
8.000000e-12,-6.257482e-06,-4.551326e-06
8.250000e-12,-6.247137e-06,-5.476048e-06
8.500000e-12,-7.249878e-06,-6.765249e-06
8.750000e-12,-8.815076e-06,-7.981365e-06
9.000000e-12,-1.043723e-05,-8.811453e-06
9.250000e-12,-1.171139e-05,-9.136512e-06
9.500000e-12,-1.241959e-05,-9.019657e-06
9.750000e-12,-1.254458e-05,-8.638632e-06
1.000000e-11,-1.222590e-05,-8.199557e-06
1.025000e-11,-1.164121e-05,-7.862474e-06
1.050000e-11,-1.102653e-05,-7.707532e-06
1.075000e-11,-1.052088e-05,-7.729756e-06
1.100000e-11,-1.020183e-05,-7.867562e-06
1.125000e-11,-1.007366e-05,-8.039266e-06
1.150000e-11,-1.009038e-05,-8.176013e-06
1.175000e-11,-1.018519e-05,-8.240891e-06
1.200000e-11,-1.029566e-05,-8.231893e-06
1.225000e-11,-1.037882e-05,-8.172398e-06
1.250000e-11,-1.041536e-05,-8.095923e-06
1.275000e-11,-1.040593e-05,-8.031902e-06
1.300000e-11,-1.036339e-05,-7.996949e-06
1.325000e-11,-1.030490e-05,-7.992970e-06
1.350000e-11,-1.024602e-05,-8.010812e-06
1.375000e-11,-1.019768e-05,-8.036612e-06
1.400000e-11,-1.016536e-05,-8.057952e-06
1.425000e-11,-1.014984e-05,-8.067751e-06
1.450000e-11,-1.014853e-05,-8.065209e-06
1.475000e-11,-1.015686e-05,-8.054301e-06
1.500000e-11,-1.016953e-05,-8.041007e-06
1.525000e-11,-1.018156e-05,-8.030597e-06
1.550000e-11,-1.018911e-05,-8.025893e-06
1.575000e-11,-1.019007e-05,-8.026870e-06
1.600000e-11,-1.018422e-05,-8.031382e-06
1.625000e-11,-1.017305e-05,-8.036466e-06
1.650000e-11,-1.015916e-05,-8.039633e-06
1.675000e-11,-1.014545e-05,-8.039674e-06
1.700000e-11,-1.013428e-05,-8.036818e-06
1.725000e-11,-1.012694e-05,-8.032338e-06
1.750000e-11,-1.012342e-05,-8.027864e-06
1.775000e-11,-1.012263e-05,-8.024712e-06
1.800000e-11,-1.012290e-05,-8.023473e-06
1.825000e-11,-1.012254e-05,-8.023936e-06
1.850000e-11,-1.012037e-05,-8.025319e-06
1.875000e-11,-1.011594e-05,-8.026647e-06
1.900000e-11,-1.010956e-05,-8.027134e-06
1.925000e-11,-1.010203e-05,-8.026425e-06
1.950000e-11,-1.009432e-05,-8.024635e-06
1.975000e-11,-1.008723e-05,-8.022228e-06
2.000000e-11,-1.008117e-05,-8.019794e-06
2.025000e-11,-1.007614e-05,-8.017823e-06
2.050000e-11,-1.007181e-05,-8.016558e-06
2.075000e-11,-1.006768e-05,-8.015956e-06
2.100000e-11,-1.006329e-05,-8.015757e-06
2.125000e-11,-1.005834e-05,-8.015609e-06
2.150000e-11,-1.005275e-05,-8.015204e-06
2.175000e-11,-1.004664e-05,-8.014369e-06
2.200000e-11,-1.004023e-05,-8.013105e-06
2.225000e-11,-1.003376e-05,-8.011547e-06
2.250000e-11,-1.002740e-05,-8.009897e-06
2.275000e-11,-1.002123e-05,-8.008346e-06
2.300000e-11,-1.001522e-05,-8.007007e-06
2.325000e-11,-1.000927e-05,-8.005900e-06
2.350000e-11,-1.000326e-05,-8.004958e-06
2.375000e-11,-9.997091e-06,-8.004067e-06
2.400000e-11,-9.990720e-06,-8.003116e-06
2.425000e-11,-9.984140e-06,-8.002028e-06
2.450000e-11,-9.977385e-06,-8.000781e-06
2.475000e-11,-9.970503e-06,-7.999405e-06
2.500000e-11,-9.963538e-06,-7.997959e-06
2.525000e-11,-9.956519e-06,-7.996507e-06
2.550000e-11,-9.949447e-06,-7.995095e-06
2.575000e-11,-9.942311e-06,-7.993742e-06
2.600000e-11,-9.935085e-06,-7.992434e-06
2.625000e-11,-9.927745e-06,-7.991141e-06
2.650000e-11,-9.920275e-06,-7.989826e-06
2.675000e-11,-9.912664e-06,-7.988461e-06
2.700000e-11,-9.904914e-06,-7.987033e-06
