time,"V(3)","V(4)","V(5)","V(6)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-13,2.287529e-05,9.438653e-06,9.020739e-06,7.447711e-06
5.000000e-13,8.524079e-06,9.389643e-06,8.746384e-06,1.128910e-05
7.500000e-13,1.936084e-05,2.166067e-05,2.029341e-05,2.545818e-05
1.000000e-12,2.966401e-05,3.380083e-05,3.190117e-05,3.858673e-05
1.250000e-12,3.709203e-05,4.312692e-05,4.106229e-05,4.757932e-05
1.500000e-12,4.059859e-05,4.817544e-05,4.632576e-05,5.116676e-05
1.750000e-12,4.054558e-05,4.897645e-05,4.758580e-05,4.998357e-05
2.000000e-12,3.827273e-05,4.676426e-05,4.586634e-05,4.594619e-05
2.250000e-12,3.542759e-05,4.335111e-05,4.278640e-05,4.134205e-05
2.500000e-12,3.336140e-05,4.044632e-05,3.994944e-05,3.802373e-05
2.750000e-12,3.278535e-05,3.915582e-05,3.846917e-05,3.695406e-05
3.000000e-12,3.373162e-05,3.978532e-05,3.875256e-05,3.815620e-05
3.250000e-12,3.574403e-05,4.194312e-05,4.055179e-05,4.096944e-05
3.500000e-12,3.816719e-05,4.484179e-05,4.320771e-05,4.443981e-05
3.750000e-12,4.041132e-05,4.765483e-05,4.596339e-05,4.768334e-05
4.000000e-12,4.211750e-05,4.979915e-05,4.823107e-05,5.012102e-05
4.250000e-12,4.320448e-05,5.106887e-05,4.973875e-05,5.155785e-05
4.500000e-12,4.382144e-05,5.161347e-05,5.054028e-05,5.213511e-05
4.750000e-12,4.425012e-05,5.180700e-05,5.092110e-05,5.221087e-05
5.000000e-12,4.479928e-05,5.207928e-05,5.125796e-05,5.222216e-05
5.250000e-12,2.284676e-05,4.333576e-05,4.286883e-05,4.511944e-05
5.500000e-12,1.516877e-05,3.474256e-05,3.482515e-05,3.411469e-05
5.750000e-12,4.575410e-06,2.287201e-05,2.365783e-05,1.969530e-05
6.000000e-12,-6.527525e-06,1.022596e-05,1.166146e-05,5.383375e-06
6.250000e-12,-1.588131e-05,-7.313296e-07,1.110646e-06,-5.753947e-06
6.500000e-12,-2.208983e-05,-8.314784e-06,-6.412554e-06,-1.203760e-05
6.750000e-12,-2.485801e-05,-1.195012e-05,-1.032285e-05,-1.340871e-05
7.000000e-12,-2.481704e-05,-1.211966e-05,-1.099059e-05,-1.109555e-05
7.250000e-12,-2.310874e-05,-1.002593e-05,-9.449216e-06,-6.968339e-06
7.500000e-12,-2.092986e-05,-7.124327e-06,-6.985081e-06,-2.862024e-06
7.750000e-12,-1.919330e-05,-4.681703e-06,-4.747819e-06,-8.469029e-08
8.000000e-12,-1.837625e-05,-3.480884e-06,-3.485476e-06,7.898100e-07
8.250000e-12,-1.854022e-05,-3.724488e-06,-3.451088e-06,-1.336110e-07
8.500000e-12,-1.945668e-05,-5.122284e-06,-4.467002e-06,-2.292324e-06
8.750000e-12,-2.076227e-05,-7.096479e-06,-6.090524e-06,-4.937868e-06
9.000000e-12,-2.209011e-05,-9.020035e-06,-7.808948e-06,-7.370687e-06
9.250000e-12,-2.315464e-05,-1.041270e-05,-9.201714e-06,-9.093531e-06
9.500000e-12,-2.379151e-05,-1.104826e-05,-1.003302e-05,-9.877091e-06
9.750000e-12,-2.396384e-05,-1.096244e-05,-1.026784e-05,-9.752785e-06
1.000000e-11,-2.374519e-05,-1.038193e-05,-1.002830e-05,-8.954396e-06
1.025000e-11,-2.328575e-05,-9.613938e-06,-9.519534e-06,-7.829746e-06
1.050000e-11,-2.276694e-05,-8.938515e-06,-8.954755e-06,-6.742307e-06
1.075000e-11,-2.235243e-05,-8.535103e-06,-8.500084e-06,-5.982271e-06
1.100000e-11,-2.214696e-05,-8.457012e-06,-8.247790e-06,-5.705186e-06
1.125000e-11,-2.217483e-05,-8.649320e-06,-8.215637e-06,-5.910983e-06
1.150000e-11,-2.238444e-05,-8.993590e-06,-8.363851e-06,-6.466330e-06
1.175000e-11,-2.267642e-05,-9.358968e-06,-8.619811e-06,-7.161147e-06
1.200000e-11,-2.294394e-05,-9.642760e-06,-8.902540e-06,-7.780123e-06
1.225000e-11,-2.310989e-05,-9.791547e-06,-9.142246e-06,-8.166321e-06
1.250000e-11,-2.314772e-05,-9.802313e-06,-9.292929e-06,-8.258098e-06
1.275000e-11,-2.308048e-05,-9.709204e-06,-9.337720e-06,-8.091080e-06
1.300000e-11,-2.296181e-05,-9.564079e-06,-9.287505e-06,-7.769545e-06
1.325000e-11,-2.284922e-05,-9.418176e-06,-9.173978e-06,-7.421405e-06
