time,"I(I0)","V(3)","V(4)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-13,0.000000e+00,1.105606e-05,1.105606e-05
5.000000e-13,0.000000e+00,9.530740e-06,9.530740e-06
7.500000e-13,0.000000e+00,2.207600e-05,2.207600e-05
1.000000e-12,0.000000e+00,3.457803e-05,3.457803e-05
1.250000e-12,0.000000e+00,4.423105e-05,4.423105e-05
1.500000e-12,0.000000e+00,4.940759e-05,4.940759e-05
1.750000e-12,0.000000e+00,5.000367e-05,5.000367e-05
2.000000e-12,0.000000e+00,4.722078e-05,4.722078e-05
2.250000e-12,0.000000e+00,4.297490e-05,4.297490e-05
2.500000e-12,0.000000e+00,3.919541e-05,3.919541e-05
2.750000e-12,0.000000e+00,3.725467e-05,3.725467e-05
3.000000e-12,0.000000e+00,3.767733e-05,3.767733e-05
3.250000e-12,0.000000e+00,4.016252e-05,4.016252e-05
3.500000e-12,0.000000e+00,4.384967e-05,4.384967e-05
3.750000e-12,0.000000e+00,4.769814e-05,4.769814e-05
4.000000e-12,0.000000e+00,5.084179e-05,5.084179e-05
4.250000e-12,0.000000e+00,5.281596e-05,5.281596e-05
4.500000e-12,0.000000e+00,5.361579e-05,5.361579e-05
4.750000e-12,0.000000e+00,5.360604e-05,5.360604e-05
5.000000e-12,0.000000e+00,5.334340e-05,5.334340e-05
5.250000e-12,0.000000e+00,4.232829e-05,4.232829e-05
5.500000e-12,0.000000e+00,3.302675e-05,3.302675e-05
5.750000e-12,0.000000e+00,2.053972e-05,2.053972e-05
6.000000e-12,0.000000e+00,7.445631e-06,7.445631e-06
6.250000e-12,0.000000e+00,-3.732962e-06,-3.732962e-06
6.500000e-12,0.000000e+00,-1.125885e-05,-1.125885e-05
6.750000e-12,0.000000e+00,-1.452334e-05,-1.452334e-05
7.000000e-12,0.000000e+00,-1.401896e-05,-1.401896e-05
7.250000e-12,0.000000e+00,-1.102603e-05,-1.102603e-05
7.500000e-12,0.000000e+00,-7.147249e-06,-7.147249e-06
7.750000e-12,0.000000e+00,-3.841353e-06,-3.841353e-06
8.000000e-12,0.000000e+00,-2.081761e-06,-2.081761e-06
8.250000e-12,0.000000e+00,-2.208060e-06,-2.208060e-06
8.500000e-12,0.000000e+00,-3.971192e-06,-3.971192e-06
8.750000e-12,0.000000e+00,-6.720416e-06,-6.720416e-06
9.000000e-12,0.000000e+00,-9.654404e-06,-9.654404e-06
9.250000e-12,0.000000e+00,-1.205982e-05,-1.205982e-05
9.500000e-12,0.000000e+00,-1.348034e-05,-1.348034e-05
9.750000e-12,0.000000e+00,-1.378752e-05,-1.378752e-05
1.000000e-11,0.000000e+00,-1.315422e-05,-1.315422e-05
1.025000e-11,1.500000e-06,-1.195537e-05,-1.195537e-05
1.050000e-11,3.000000e-06,-1.063481e-05,-1.063481e-05
1.075000e-11,4.500000e-06,-9.578860e-06,-9.578860e-06
1.100000e-11,6.000000e-06,-9.028350e-06,-9.028350e-06
1.125000e-11,7.500000e-06,-9.044641e-06,-9.044641e-06
1.150000e-11,9.000000e-06,-9.528294e-06,-9.528294e-06
1.175000e-11,1.050000e-05,-1.027548e-05,-1.027548e-05
1.200000e-11,1.200000e-05,-1.105050e-05,-1.105050e-05
1.225000e-11,1.350000e-05,-1.165288e-05,-1.165288e-05
1.250000e-11,1.500000e-05,-1.196292e-05,-1.196292e-05
1.275000e-11,1.650000e-05,-1.195800e-05,-1.195800e-05
1.300000e-11,1.800000e-05,-1.170084e-05,-1.170084e-05
1.325000e-11,1.950000e-05,-1.130769e-05,-1.130769e-05
1.350000e-11,2.100000e-05,-1.090843e-05,-1.090843e-05
1.375000e-11,2.250000e-05,-1.061020e-05,-1.061020e-05
1.400000e-11,2.400000e-05,-1.047370e-05,-1.047370e-05
1.425000e-11,2.550000e-05,-1.050581e-05,-1.050581e-05
1.450000e-11,2.700000e-05,-1.066768e-05,-1.066768e-05
1.475000e-11,2.850000e-05,-1.089335e-05,-1.089335e-05
1.500000e-11,3.000000e-05,-1.111206e-05,-1.111206e-05
1.525000e-11,3.150000e-05,-1.126784e-05,-1.126784e-05
1.550000e-11,3.300000e-05,-1.133155e-05,-1.133155e-05
1.575000e-11,3.450000e-05,-1.130372e-05,-1.130372e-05
1.600000e-11,3.600000e-05,-1.120900e-05,-1.120900e-05
1.625000e-11,3.750000e-05,-1.108516e-05,-1.108516e-05
1.650000e-11,3.900000e-05,-1.097066e-05,-1.097066e-05
1.675000e-11,4.050000e-05,-1.089425e-05,-1.089425e-05
1.700000e-11,4.200000e-05,-1.086915e-05,-1.086915e-05
1.725000e-11,4.350000e-05,-1.089237e-05,-1.089237e-05
1.750000e-11,4.500000e-05,-1.094859e-05,-1.094859e-05
1.775000e-11,4.650000e-05,-1.101657e-05,-1.101657e-05
1.800000e-11,4.800000e-05,-1.107595e-05,-1.107595e-05
