time,"I(I0)","V(3)"
0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-13,0.000000e+00,4.004171e-06
5.000000e-13,0.000000e+00,4.170164e-06
7.500000e-13,0.000000e+00,1.005481e-05
1.000000e-12,0.000000e+00,1.651216e-05
1.250000e-12,0.000000e+00,2.226045e-05
1.500000e-12,0.000000e+00,2.626330e-05
1.750000e-12,0.000000e+00,2.800231e-05
2.000000e-12,0.000000e+00,2.758199e-05
2.250000e-12,0.000000e+00,2.565186e-05
2.500000e-12,0.000000e+00,2.317858e-05
2.750000e-12,0.000000e+00,2.114347e-05
3.000000e-12,0.000000e+00,2.026094e-05
3.250000e-12,0.000000e+00,2.080176e-05
3.500000e-12,0.000000e+00,2.256750e-05
3.750000e-12,0.000000e+00,2.501094e-05
4.000000e-12,0.000000e+00,2.745029e-05
4.250000e-12,0.000000e+00,2.929953e-05
4.500000e-12,0.000000e+00,3.023978e-05
4.750000e-12,0.000000e+00,3.028452e-05
5.000000e-12,0.000000e+00,2.973184e-05
5.250000e-12,0.000000e+00,2.503044e-05
5.500000e-12,0.000000e+00,2.036286e-05
5.750000e-12,0.000000e+00,1.434381e-05
6.000000e-12,0.000000e+00,8.041713e-06
6.250000e-12,0.000000e+00,2.501846e-06
6.500000e-12,0.000000e+00,-1.502603e-06
6.750000e-12,0.000000e+00,-3.604615e-06
7.000000e-12,0.000000e+00,-3.870201e-06
7.250000e-12,0.000000e+00,-2.732582e-06
7.500000e-12,0.000000e+00,-8.556307e-07
7.750000e-12,0.000000e+00,1.040826e-06
8.000000e-12,0.000000e+00,2.353309e-06
8.250000e-12,0.000000e+00,2.724362e-06
8.500000e-12,0.000000e+00,2.100329e-06
8.750000e-12,0.000000e+00,7.072914e-07
9.000000e-12,0.000000e+00,-1.042669e-06
9.250000e-12,0.000000e+00,-2.684641e-06
9.500000e-12,0.000000e+00,-3.834305e-06
9.750000e-12,0.000000e+00,-4.284958e-06
1.000000e-11,0.000000e+00,-4.044422e-06
1.025000e-11,1.500000e-06,-3.307228e-06
1.050000e-11,3.000000e-06,-2.376772e-06
1.075000e-11,4.500000e-06,-1.565547e-06
1.100000e-11,6.000000e-06,-1.105167e-06
1.125000e-11,7.500000e-06,-1.091450e-06
1.150000e-11,9.000000e-06,-1.476301e-06
1.175000e-11,1.050000e-05,-2.102669e-06
1.200000e-11,1.200000e-05,-2.766452e-06
1.225000e-11,1.350000e-05,-3.283312e-06
1.250000e-11,1.500000e-05,-3.539852e-06
1.275000e-11,1.650000e-05,-3.516149e-06
1.300000e-11,1.800000e-05,-3.277049e-06
1.325000e-11,1.950000e-05,-2.939506e-06
1.350000e-11,2.100000e-05,-2.629452e-06
1.375000e-11,2.250000e-05,-2.442897e-06
1.400000e-11,2.400000e-05,-2.422378e-06
1.425000e-11,2.550000e-05,-2.553430e-06
1.450000e-11,2.700000e-05,-2.778830e-06
1.475000e-11,2.850000e-05,-3.023293e-06
1.500000e-11,3.000000e-05,-3.219299e-06
1.525000e-11,3.150000e-05,-3.325989e-06
1.550000e-11,3.300000e-05,-3.336574e-06
1.575000e-11,3.450000e-05,-3.274057e-06
1.600000e-11,3.600000e-05,-3.178694e-06
