time,"I(I0)","V(3)"
0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-13,0.000000e+00,1.054114e-05
5.000000e-13,0.000000e+00,9.053620e-06
7.500000e-13,0.000000e+00,2.094620e-05
1.000000e-12,0.000000e+00,3.276096e-05
1.250000e-12,0.000000e+00,4.183569e-05
1.500000e-12,0.000000e+00,4.664354e-05
1.750000e-12,0.000000e+00,4.711381e-05
2.000000e-12,0.000000e+00,4.441330e-05
2.250000e-12,0.000000e+00,4.037416e-05
2.500000e-12,0.000000e+00,3.682221e-05
2.750000e-12,0.000000e+00,3.503663e-05
3.000000e-12,0.000000e+00,3.548201e-05
3.250000e-12,0.000000e+00,3.784073e-05
3.500000e-12,0.000000e+00,4.127571e-05
3.750000e-12,0.000000e+00,4.479619e-05
4.000000e-12,0.000000e+00,4.759340e-05
4.250000e-12,0.000000e+00,4.924960e-05
4.500000e-12,0.000000e+00,4.978441e-05
4.750000e-12,0.000000e+00,4.956085e-05
5.000000e-12,0.000000e+00,4.911115e-05
5.250000e-12,0.000000e+00,3.841176e-05
5.500000e-12,0.000000e+00,2.941836e-05
5.750000e-12,0.000000e+00,1.750956e-05
6.000000e-12,0.000000e+00,5.197719e-06
6.250000e-12,0.000000e+00,-5.093997e-06
6.500000e-12,0.000000e+00,-1.174795e-05
6.750000e-12,0.000000e+00,-1.427834e-05
7.000000e-12,0.000000e+00,-1.327995e-05
7.250000e-12,0.000000e+00,-1.008939e-05
7.500000e-12,0.000000e+00,-6.303306e-06
7.750000e-12,0.000000e+00,-3.311852e-06
8.000000e-12,0.000000e+00,-1.974634e-06
8.250000e-12,0.000000e+00,-2.501548e-06
8.500000e-12,0.000000e+00,-4.530559e-06
8.750000e-12,0.000000e+00,-7.341569e-06
9.000000e-12,0.000000e+00,-1.012204e-05
9.250000e-12,0.000000e+00,-1.220454e-05
9.500000e-12,0.000000e+00,-1.321991e-05
9.750000e-12,0.000000e+00,-1.314224e-05
1.000000e-11,0.000000e+00,-1.223377e-05
1.025000e-11,1.500000e-06,-1.092270e-05
1.050000e-11,3.000000e-06,-9.658968e-06
1.075000e-11,4.500000e-06,-8.790734e-06
1.100000e-11,6.000000e-06,-8.491207e-06
1.125000e-11,7.500000e-06,-8.745946e-06
1.150000e-11,9.000000e-06,-9.392536e-06
1.175000e-11,1.050000e-05,-1.019210e-05
1.200000e-11,1.200000e-05,-1.090766e-05
1.225000e-11,1.350000e-05,-1.136728e-05
1.250000e-11,1.500000e-05,-1.149826e-05
1.275000e-11,1.650000e-05,-1.132859e-05
1.300000e-11,1.800000e-05,-1.096121e-05
1.325000e-11,1.950000e-05,-1.053294e-05
1.350000e-11,2.100000e-05,-1.017172e-05
1.375000e-11,2.250000e-05,-9.963932e-06
1.400000e-11,2.400000e-05,-9.938772e-06
1.425000e-11,2.550000e-05,-1.007073e-05
1.450000e-11,2.700000e-05,-1.029629e-05
1.475000e-11,2.850000e-05,-1.053791e-05
1.500000e-11,3.000000e-05,-1.072741e-05
1.525000e-11,3.150000e-05,-1.082284e-05
1.550000e-11,3.300000e-05,-1.081519e-05
1.575000e-11,3.450000e-05,-1.072509e-05
1.600000e-11,3.600000e-05,-1.059199e-05
1.625000e-11,3.750000e-05,-1.046012e-05
1.650000e-11,3.900000e-05,-1.036555e-05
1.675000e-11,4.050000e-05,-1.032770e-05
1.700000e-11,4.200000e-05,-1.034694e-05
1.725000e-11,4.350000e-05,-1.040781e-05
1.750000e-11,4.500000e-05,-1.048603e-05
