time,"I(I0)","V(3)"
0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-13,0.000000e+00,9.839918e-06
5.000000e-13,0.000000e+00,8.492648e-06
7.500000e-13,0.000000e+00,1.968113e-05
1.000000e-12,0.000000e+00,3.084745e-05
1.250000e-12,0.000000e+00,3.949179e-05
1.500000e-12,0.000000e+00,4.415572e-05
1.750000e-12,0.000000e+00,4.473206e-05
2.000000e-12,0.000000e+00,4.227647e-05
2.250000e-12,0.000000e+00,3.848679e-05
2.500000e-12,0.000000e+00,3.508124e-05
2.750000e-12,0.000000e+00,3.328875e-05
3.000000e-12,0.000000e+00,3.358562e-05
3.250000e-12,0.000000e+00,3.571033e-05
3.500000e-12,0.000000e+00,3.889686e-05
3.750000e-12,0.000000e+00,4.221232e-05
4.000000e-12,0.000000e+00,4.487516e-05
4.250000e-12,0.000000e+00,4.646159e-05
4.500000e-12,0.000000e+00,4.696133e-05
4.750000e-12,0.000000e+00,4.669897e-05
5.000000e-12,0.000000e+00,4.617399e-05
5.250000e-12,0.000000e+00,3.604523e-05
5.500000e-12,0.000000e+00,2.749279e-05
5.750000e-12,0.000000e+00,1.625539e-05
6.000000e-12,0.000000e+00,4.709410e-06
6.250000e-12,0.000000e+00,-4.874222e-06
6.500000e-12,0.000000e+00,-1.100219e-05
6.750000e-12,0.000000e+00,-1.325710e-05
7.000000e-12,0.000000e+00,-1.223562e-05
7.250000e-12,0.000000e+00,-9.217250e-06
7.500000e-12,0.000000e+00,-5.704404e-06
7.750000e-12,0.000000e+00,-2.985125e-06
8.000000e-12,0.000000e+00,-1.836149e-06
8.250000e-12,0.000000e+00,-2.421677e-06
8.500000e-12,0.000000e+00,-4.376551e-06
8.750000e-12,0.000000e+00,-7.013799e-06
9.000000e-12,0.000000e+00,-9.575845e-06
9.250000e-12,0.000000e+00,-1.145439e-05
9.500000e-12,0.000000e+00,-1.232747e-05
9.750000e-12,0.000000e+00,-1.219365e-05
1.000000e-11,0.000000e+00,-1.131372e-05
1.025000e-11,1.500000e-06,-1.009268e-05
1.050000e-11,3.000000e-06,-8.945016e-06
1.075000e-11,4.500000e-06,-8.182592e-06
1.100000e-11,6.000000e-06,-7.951278e-06
1.125000e-11,7.500000e-06,-8.224035e-06
1.150000e-11,9.000000e-06,-8.841447e-06
1.175000e-11,1.050000e-05,-9.579763e-06
1.200000e-11,1.200000e-05,-1.022314e-05
1.225000e-11,1.350000e-05,-1.062017e-05
